Name,AllianceName,CharacterId,Favorite,Level,Power,Stars,RedStar,GearLevel,Basic,Special,Ultimate,Passive,ISO Class,ISO Level,ISO Armor,ISO Damage,ISO Focus,ISO Health,ISO Resist
mgmf,SIGMA Infamously Strange,Nova,true,85,209931,7,6,16,7,8,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Okoye,false,90,199814,8,6,16,6,6,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Omega Red,false,95,350067,8,8,16,7,7,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Phoenix,false,85,157892,8,7,16,6,7,7,5,Skirmisher,2,2,2,2,2,2
mgmf,SIGMA Infamously Strange,Photon,true,85,130380,5,5,16,6,7,7,4,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Phyla-Vell,false,88,225250,8,7,16,7,7,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Polaris,false,75,113811,8,7,14,6,6,6,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Proxima Midnight,false,80,148203,8,6,15,7,7,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Psylocke,true,90,228388,8,6,17,6,6,7,5,Striker,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,Punisher,false,65,75021,8,7,12,6,6,6,5,Striker,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,Pyro,false,74,94274,8,6,13,6,7,7,4,Striker,4,4,4,4,4,4
mgmf,SIGMA Infamously Strange,Quake,false,71,79866,8,7,12,6,6,7,4,Fortifier,1,1,1,1,1,1
mgmf,SIGMA Infamously Strange,Quicksilver,false,91,211948,7,5,16,7,7,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Ravager Boomer,false,56,39755,8,6,10,6,5,0,4,,0,0,0,0,0,0
